Kata,Bobot
terbongkar,-3
terbiar,-3
terbesit,-2
terberak,-5
terbentur,-4
terbenam,-5
terbelakang,-3
terbanting,-3
terbangai,-3
terbang pikiran,-4
terbang arwah,-4
terban,-4
terbalik akal,-4
terbakar,-5
teratur,-4
terasing,-5
teraniaya,-4
terang akal,-4
terang,-3
terampil,-3
terambau,-5
teralienasi,-3
terali,-4
terajang,-3
terajam,-4
teragung,-4
teraduk,-3
terabai,-3
tepu,-3
tepian mata,-3
tepi,-4
teperlus,-4
tepergok,-5
teologis,-4
tentu,-3
tentangan,-2
tentang,-2
tensi,-4
tengok,-2
tengkulak,-5
tengku,-4
tengkoh,-3
tengkingan,-5
tengking,-5
tengkar,-4
tenggelem,-3
tenggarang,-4
tenggang,-4
tenggan,-3
tenggalam,-3
tenggak,-3
tengak,-4
tendensi,-3
tendas,-4
tendang,-3
tenang,-1
temporer,-4
tempo,-4
tempik,-4
tempelak,-5
tembok,-1
tembis,-3
tembelang,-5
tembam,-4
tembak-menembak,-5
tembakau,-3
tembak,-5
teliti waskita,-3
telinga merah,-3
telimpuh,-3
telik,-2
teles,-4
telerang,-3
teledor,-5
telat,-5
telantar,-4
telan,-5
telak,-3
teladan,-3
telaah,-2
tekuk lutut,-3
teks,-3
teknik,-4
tekek,-3
tekanan mental,-4
tekanan,-3
tekan mental,-4
tekan,-3
tekak,-5
tekad,-3
teguran,-3
tegur ajar,-5
tegur,-3
tegun,-3
tegar,-4
teganya,-4
tegal,-4
tega,-5
tedak,-4
tebat,-3
tebaran,-3
tebal telinga,-3
tebal hati,-5
tbc,-3
tayibah,-1
tayib,-1
tawon,-3
tawar,-4
tauk,-3
tatak,-4
tatah-tatah,-5
tarung,-3
tarik napas habis,-5
tarik hati,-1
tarekat,-4
tarak,-3
taraf,-2
tapa-tapa,-3
tapak kaki,-3
tanya,-2
tanur,-4
tantang,-4
tangkis,-3
tangkas,-4
tangkapan,-3
tangkap tangan,-4
tangkap basah,-3
tangisan,-5
tangis,-5
tanggungan,-3
tanggung,-2
tanggul,-3
tangguh,-2
tanggal,-4
tangan panas,-4
tanduk,-2
tandanya,-2
tandang,-2
tanah tandus,-3
tampuk,-3
tampik,-4
tamparan,-3
tampak,-3
tambun,-3
tambeng,-5
tambatan hati,-2
tambat hati,-2
tambak,-5
tamat riwayatnya,-3
tamat riwayat,-3
tamat,-4
talun,-3
tali jantung,-3
talenan,-5
talas,-3
talak,-3
takut,-5
takul,-3
taksir,-1
takjub,-1
