Kata,Bobot
muring,-5
murca,-4
muram durja,-5
muram,-4
murahan,-4
mupeng,-2
muntup,-3
muntahan,-4
muntah,-3
mungut,-2
mungkir,-5
mungkar,-4
mungil,-4
munding,-3
muncul,-3
muncikari,-5
mumpung,-3
mumi,-4
mumet,-4
mulut rambang,-4
mulut gatal,-4
mulut gapil,-4
mulut,-1
mulus,-5
mulu,-1
mules,-4
mula,-3
mukhlis,-2
mujarab,-1
muflis,-4
mudik,-3
mudarat,-5
mucikari,-5
muatan,-5
mual,-5
muak,-5
moyang,-4
motivasi,-3
morfin,-3
morat-marit,-3
monyet,-3
moncong,-3
momok,-4
mohon,-2
mogok,-5
modus,-4
moderator,-3
modar,-5
modal,-3
mls,-4
mitra,-4
miss,-4
miskin,-5
miris,-4
miring,-4
minus,-3
minimal,-3
minim,-3
minhaj,-4
mimpiin,-2
miliun,-5
mil,-3
mikro,-3
mewek,-5
mewalakkan,-5
mewakili,-3
mewajibkan,-2
metode,-5
meteor,-4
mesut,-4
mesum,-5
mesiu,-1
meruyup,-4
merusakkan,-4
meruok,-5
merunyamkan,-3
meruntun,-5
meruntuhkan,-4
meruntuh,-4
merunjang,-3
merundung,-4
merumung,-3
merukunkan,-3
merugi,-5
meruak,-4
merua,-4
merosot,-5
merosok,-3
merorod,-4
meronta,-3
merompak,-5
merogok,-3
merogoh,-3
merobohkan,-5
merobek,-4
merisak,-4
merintangi,-4
merinin,-3
meringankan,-1
merindingkan,-4
merinding,-3
merincukan,-4
merincis,-4
meributkan,-4
meriba,-3
meriang,-4
meretek,-3
meresahkan,-4
merenyam,-3
merenungkan,-3
merenungi,-3
merentang-rentang,-5
merentak,-3
merencah,-4
meremukkan,-4
meremehkan,-5
merembet,-4
merembes,-3
meremang,-3
merem,-2
mereken,-3
merejeng,-3
merefleksikan,-3
meredup,-3
meredik,-5
meredam,-4
merecoki,-3
merecok,-4
merebut,-3
merebak,-3
merebahkan,-3
merdesa,-5
merayau,-4
merayapi,-3
merayap,-3
merayah,-5
merawat,-3
meraut,-3
merasuk hati,-3
merasuk,-3
merasi,-3
merasa,-2
merapunkan,-4
merapatkan,-3
meranyah,-5
merangsang,-4
merangkus,-4
merangkup,-3
merangkum,-3
merangkul,-3
merangkam,-4
merangkak,-3
meranggah,-3
merandu,-4
merancukan,-4
merana,-4
merampus,-5
merampok,-5
merampas,-4
merampang,-4
merambak,-3
meramalkan,-2
meralip,-5
merajam,-5
merajalela,-4
merah telinga,-3
merah,-3
meragukan,-3
meragu,-4
meradang,-4
meracik,-4
meraban,-4
menyusut,-2
menyusup,-3
menyusahkan,-5
menyurut,-3
menyurihkan percakapan,-5
menyunu,-2
menyuntik,-3
menyungkit,-4
menyungguhkan,-3
menyunggit,-4
menyundut,-3
menyunduk,-3
menyunat,-5
menyumpahi,-5
menyulut,-4
menyulam,-5
menyukai,-1
menyuarakan,-1
menyuapi,-3
menyuap,-3
menyorongkan,-3
menyorong,-3
menyongsong,-2
menyolot,-4
menyolidkan,-3
menyolang,-3
menyogok,-5
menyodorkan,-3
menyodok,-3
menyita,-5
menyisikan,-4
menyisihkan,-2
menyirapkan,-4
menyinkronkan,-3
menyingsing,-3
menyingkirkan,-4
menyingkapkan,-4
menyingkap,-4
menyinggang,-4
menyindir,-4
menyimpang,-4
menyilam,-3
menyikut,-5
menyiksa,-5
menyikat,-5
menyidangkan,-3
menyibuk,-2
menyiat,-4
menyiasat,-3
menyiar,-4
menyetubuhi,-3
menyetrap,-3
menyetor,-3
menyeterui,-5
menyesar,-3
menyesap,-3
menyesalkan,-5
menyesal,-4
menyesak,-4
menyeruput,-3
menyerobot,-5
menyerempakkan,-3
menyerbu,-5
menyerap,-3
menyerang,-3
menyerampang,-5
menyeramkan,-4
menyerahkan jiwa raga,-4
menyerah,-4
menyepuk,-5
menyepelekan,-4
menyentak,-5
menyenggau,-4
menyenggak,-5
menyengat,-4
menyemprot,-5
menyemir,-5
menyembur,-3
menyembunyikan,-3
menyembulkan,-3
menyembul,-3
menyembilu,-4
menyembarangi,-5
menyembam,-4
menyemak,-5
menyelusur,-3
menyelusuh,-3
menyeluruhi,-3
menyelundupi,-3
menyeluk,-3
menyelubungi,-3
menyelir,-5
menyelinap,-5
menyelidiki,-5
menyelentik,-4
menyelekehi,-3
menyelar,-4
menyelang,-5
menyelami,-5
menyelakkan,-5
menyelak,-4
menyela,-5
menyekar,-4
menyeka,-4
menyegam,-4
menyedot,-3
menyedihkan,-4
menyeberang,-3
menyebelahkan,-5
menyebelah,-3
menyayung,-4
menyayat hati,-4
menyayat,-4
menyawar,-5
menyatukan,-3
menyatu,-4
menyatroni,-5
menyapu-nyapu,-4
menyantap,-4
menyantak,-3
menyangkak hati,-4
menyangkak,-5
menyanggupi,-5
menyanggah,-4
menyandingkan,-2
menyampuk,-3
menyampingkan,-4
menyampah,-4
menyaman,-4
menyamakan,-3
menyalakan,-4
menyalak,-3
menyala,-2
menyakitkan,-4
menyakiti,-5
menyakatkan,-4
menyakar,-5
menyagang,-3
menyadran,-4
menyadau,-3
menyabung (nyawa),-3
menyabung,-3
menyabot,-3
menyabet,-5
menyabak,-5
menutup mulut,-3
menutup,-3
menusuk-nusuk,-4
menusuk,-4
menurunkan,-5
menurun,-3
menunukan,-4
menuntut,-3
menunjukkan,-3
menunjang,-3
menunggunya,-2
menunggui,-3
menunggu,-3
menunggangkan,-1
menung,-3
menundukkan,-4
menumpuk,-3
menumpas,-5
menumpang tinggal,-4
menumpang,-3
menumbuk,-3
menumang,-4
menular,-4
menukik,-4
menuju,-4
menuguri,-3
menugaskan,-1
menubruk,-3
menuba,-5
mentransformasikan,-5
mentolo,-2
mentok,-5
mentang-mentang,-4
mentang,-3
menonjolkan,-3
menonjok,-3
menongkrongi,-3
menongkrong,-4
menolok,-3
menoleransi,-3
menolak,-4
menodai,-5
menjunam,-4
menjotos,-3
menjolok,-3
menjodohkan,-3
menjiplak,-3
menjilat-jilat,-2
menjilat,-3
menjijikkan,-5
menjerkah,-5
menjerit,-3
menjeramah,-4
menjepit leher,-4
menjenguk,-4
menjemukan,-3
menjelma,-3
menjelek-jelekkan,-4
menjejaki,-4
menjejak,-4
menjeburkan,-5
menjebol,-3
menjauhkan,-4
menjauh,-3
menjatuhkan,-4
menjaraki,-3
menjarak,-3
menjarah,-4
menjapit,-4
menjamin,-5
menjambret,-5
menjalari,-3
menjahili,-3
menjahatkan,-4
menjaga,-3
menitis,-3
menistakan,-5
menista,-4
menir,-4
menipu,-3
menipis,-3
meninju,-3
meningkah,-5
meninggi,-2
meninggalkan,-4
meninggal,-4
menindas,-5
menimpuk,-5
menimpa,-3
menimbang-nimbang,-3
menimbang,-3
menimang-nimang,-3
menimangkan,-3
menilap,-4
menilai,-4
menikmati,-3
menikam,-4
menikah,-2
menidurkan,-4
meni,-2
menguyuh,-3
mengutuk,-5
mengutil,-4
mengusir,-4
mengusili,-3
mengusap,-4
mengusai,-2
mengunyah,-4
menguntungkan,-4
mengungkapkan,-4
mengumpul,-3
mengumpat,-4
mengumbar,-3
mengumandang,-4
mengukuhkan,-3
menguji,-5
menguit,-4
mengudak,-4
mengucur,-3
menguburkan,-3
mengubur,-3
mengubrakan,-3
menguatkan,-3
menguar,-3
mengoyok,-4
mengoyak-oyak,-4
mengoyak,-4
mengotot,-4
mengotori,-5
mengorup,-5
mengorok,-3
mengorek-ngorek,-4
mengorek,-4
mengonyok,-3
mengonsumsi,-4
mengonslah,-5
mengonfirmasi,-4
mengonarkan,-4
mengompori,-4
mengolet,-3
mengoleng,-3
mengogah,-3
mengobarkan,-4
mengkhianati,-5
mengkhianat,-4
mengkal,-4
mengkaji,-5
mengistimewakan,-3
mengisruhkan,-4
mengisbatkan,-3
mengiris,-4
mengirikan,-4
mengirik,-3
mengirat,-5
mengirap,-3
menginterupsi,-5
menginsinuasi,-4
menginjeksi,-3
menginjak,-3
mengingsut,-3
mengingsar,-3
mengingkari,-4
menginapkan (jenazah),-3
mengimbangi,-5
mengikhtisarkan,-3
mengidamkan,-2
mengias,-4
menghunjam,-4
menghuni,-3
menghulu,-3
menghukumkan,-3
menghukum,-3
menghujat,-4
menghitamkan,-4
menghisap,-1
menghirup,-3
menghirukkan,-4
menghinggut,-3
menghinggapi,-3
menghindarkan,-4
menghinap-hinap,-3
menghinakan,-5
menghina(kan) melanyak,-5
menghilang,-3
menghidu,-1
mengherankan,-3
menghentikan,-5
mengheningkan,-3
menghempaskan,-4
menghempas,-4
menghembalang,-3
menghebohkan,-3
menghasut,-4
mengharukan,-4
mengharubirukan,-4
menghardik,-5
mengharap,-3
mengharamkan,-3
menghapus,-4
menghantui,-4
menghanguskan,-3
menghancurluluhkan,-4
menghancurkan,-4
menghamuni,-5
menghambat,-3
menghalang,-4
menghalai-balaikan,-4
menghabiskan,-4
menghabisi,-4
menggusari,-3
menggunung,-3
menggunting,-3
mengguncangkan,-4
menggulung,-4
mengguguk,-5
menggugat,-4
menggoyangkan,-4
menggoyang,-3
menggoyahkan menggerakkan,-4
menggores,-3
menggondol,-5
menggodai,-3
menggilas,-4
menggila,-4
menggigis,-4
menggigil,-4
menggigih,-4
menggiatkan,-4
menggerinjam,-4
menggeret,-3
menggerenyam,-3
menggerecoki,-4
menggerebek,-3
menggeramus,-4
menggentarkan,-4
menggemuruh,-4
menggempur,-4
menggemparkan,-2
menggemaskan,-5
menggema,-4
menggelup,-4
menggelorakan,-4
menggelogok,-3
menggelisahi,-4
menggelinyau,-3
menggelingsir,-3
menggelincir,-3
menggelikan,-3
menggeligis,-4
menggeligi,-4
menggeliat,-3
menggeletar,-4
menggelesot,-3
menggeleng,-3
menggelecik,-3
menggelapkan,-4
menggelabur,-5
menggelabu,-4
menggegerkan,-3
menggebos,-5
menggasak,-5
menggarong,-5
menggarit,-3
menggarangkan,-4
mengganyang,-4
mengganjarkan,-3
mengganjari,-3
mengganjar,-3
mengganggu,-4
mengganas bercabul,-4
mengganas,-4
menggampangkan,-3
menggali-gali,-4
menggalakkan memanas-manasi,-3
menggalakkan,-4
menggagalkan,-3
menggaet,-5
menggaduhkan,-4
menggadaikan,-3
mengetes,-3
mengetepikan,-4
mengesup,-3
mengesel,-5
mengesan,-3
mengesampingkan,-4
mengesak,-3
mengesahkan,-3
mengerut,-3
mengeruh,-3
mengerubuti,-4
mengerubungi,-3
mengerti,-2
mengeroyok,-4
mengernai,-4
mengerkau,-4
mengerjakan,-4
mengerinyau,-3
mengerikan,-4
mengerik,-3
mengeremus,-4
mengerem,-2
mengentengkan,-2
mengentak,-3
mengenjak,-3
mengendur,-3
mengencang,-3
mengempis,-3
mengempaskan,-3
mengempang,-5
mengembus,-4
mengembat,-5
mengelukan,-2
mengelis,-3
mengelih,-4
mengelakkan,-4
mengekol,-3
mengekang,-4
mengejutkan,-3
mengejikan,-3
mengejek,-4
mengejawantah,-3
mengejar,-4
mengedut,-5
mengedrop,-4
mengecilkan,-3
mengecewakan,-3
mengecerkan,-2
mengebumikan,-3
mengebiri,-3
mengazabkan,-3
mengazab,-3
mengayunkan,-3
mengayun,-3
mengawasi,-2
mengaur,-3
mengata-ngatai,-5
mengasuh,-2
mengasihi,-2
mengarik,-3
mengaret,-3
mengarau,-4
mengarah,-4
mengapkir,-4
mengap,-3
menganugerahi,-3
mengantongi,-5
mengantisipasi,-1
mengantarai,-3
mengantara,-3
menganjurkan,-3
menganggur,-4
menganeksasi,-5
mengandut,-3
mengandung,-3
mengamuk,-5
mengamput,-3
mengambang,-5
mengamalkan,-4
mengalihkan,-5
mengalami,-3
mengalahkan,-4
mengalah,-2
mengagumkan,-5
mengagak-agak,-3
mengaduk,-4
mengadili,-4
mengadang,-3
mengada-ada,-4
mengada,-3
mengacaukan,-4
mengacau,-4
mengacak,-4
mengabulkan,-3
mengabsorpsi,-3
mengabdi,-3
mengabar,-5
mengabaikan,-3
menetes,-3
menetapkan,-5
menerpa,-3
menerka,-1
menerjunkan,-5
menerjang,-3
menerima kenyataan,-4
menerbankan,-4
menepis,-3
menep,-3
menentang,-5
menengking,-5
menengkar,-5
menenggang,-3
menengahi,-5
menenes,-2
menendang,-5
menenangkan,-1
menempel,-3
menempati,-3
menembok,-1
menembis,-5
menelanjangi,-4
menelaah,-5
menekankan,-3
menekan,-3
menegur,-3
meneguk,-3
meneguhkan,-3
menegapkan,-3
menegangkan,-4
menegah,-5
menebuk,-3
menebeng,-3
menebat,-3
menebalkan,-3
menebak,-2
mendustai,-3
mendusta,-4
menduri,-4
mendungas,-3
mendung,-3
menduga,-1
mendorong,-4
mendongkolkan,-5
mendompleng,-3
mendoa,-3
mendiskreditkan,-4
mendingan,-3
mending,-3
mendindingi,-5
mendidis,-4
mendidih,-3
mendiamkan,-3
mendiami,-3
mendesak,-4
menderita,-5
mendengung,-4
mendengu,-3
mendemonstrasikan,-4
mendekap,-3
mendedahkan,-4
mendebarkan,-4
mendaulat,-5
mendasar,-4
mendarat,-4
mendapati,-4
mendangkung,-3
mendamprat,-4
mendalam,-3
mendakwa,-4
mendaifkan,-4
mendahului,-1
mencuru,-3
mencuri,-5
mencurat,-1
mencura,-5
mencungkil,-4
mencucut,-3
mencucuk,-3
mencuca,-5
mencret,-4
mencoret,-3
mencoreng,-4
mencopet,-5
mencontengkan,-3
menconteng,-3
mencomot,-4
mencolong,-5
mencocok,-3
mencoblos,-3
menciut,-3
mencium tanah,-5
mencirit,-5
mencilok,-3
mencicik,-5
mencibirkan,-5
mencibir,-5
mencetak,-5
mencerup,-3
mencerkau,-4
menceret,-5
mencerca,-5
mencerat,-3
menceracau,-3
mencepung,-5
mencengkeram,-4
mencengkelong,-5
mencengkau,-4
mencengkam,-4
mencengangkan,-3
menceng,-4
mencempung,-4
mencemplung,-5
mencemooh,-5
mencemat,-5
mencemaskan,-3
mencemari,-4
menceluk,-3
mencelampakkan,-3
mencelakai,-5
mencela,-5
mencekuh,-3
mencekik,-4
mencekau,-2
mencekam,-4
mencekak,-4
mencegat,-3
mencederai,-4
mencecak,-3
mencecah,-3
mencebur,-5
mencebikkan,-3
mencatut,-3
mencarak,-3
mencaplok,-3
mencangkum,-3
mencamuk,-4
mencampurbaurkan,-4
mencalit,-3
mencak-mencak,-5
mencakar,-4
mencak,-5
mencair,-1
mencagun,-3
mencagil,-4
mencaci-maki,-5
mencaci,-5
mencabau,-4
mencabarkan,-4
menata,-2
menasihatkan,-3
menaruh syak,-3
menarik napas penghabisan,-5
menantang,-4
menangkap tangan,-5
menangkap,-3
menangkal,-4
menangis,-5
menanggungkan,-5
menanggung,-2
menanggapi,-5
menanggang,-5
menangap,-5
menang,-5
menancap,-4
menampik,-4
menampel,-3
menampakkan diri,-3
menampakkan,-4
menampak,-4
menambus,-4
menambak,-5
menamatkan riwayatnya,-3
menakutkan,-4
menakali,-4
menahun,-5
menahankan,-2
menahan,-5
menagih,-3
menagak,-5
menafikan,-4
menafakurkan,-3
menadaburkan,-3
menabrak,-3
memvonis,-3
memusuhi,-5
memusnahkan,-5
memusingkan,-4
memupus,-5
memungut,-2
memuluskan,-5
memukuli,-4
memuakkan,-5
memprediksi,-1
mempertimbangkan,-3
mempertenggangkan,-3
mempertaruhkan,-3
mempersoalkan,-4
mempersakiti,-5
memperolahkan,-4
memperlihatkan,-3
memperkeruh,-4
memperkacaukan,-4
memperhitungkan,-3
memperduakan,-3
memperbandingkan,-3
memperapikan,-2
memotong,-3
memosisikan,-5
memorakporandakan,-3
memomokkan,-5
memojokkan,-4
memipihkan,-3
meminta (kpd Tuhan),-3
memilin,-5
memikul,-5
memikirkan,-3
memikat,-4
memijak,-3
memidana,-3
memfitnah,-4
memfatwakan,-3
memetuahkan,-3
memerusa,-4
memerli,-5
memergoki,-5
memenuhi,-3
memenggal lidah,-5
memendek,-3
memenangi,-5
memekik,-3
memek,-5
memejalkan,-3
memejahijaukan,-4
memegat,-3
memegang,-4
memedi,-4
memecatkan,-5
memecah,-4
memburukkan,-5
memburu,-4
membunyikan,-1
membuncahkan,-4
membukukan,-5
membuang nyawa,-5
membuang,-4
membual,-4
membosankan,-3
membopong,-3
membongkar,-4
membolos,-3
membohongi,-3
membohong,-4
membocorkan,-4
membobol,-5
memble,-3
membisu,-3
membinasakan,-5
membidikkan,-2
membiak,-3
membeslah,-4
membeset,-4
membesar,-2
membersihkan,-5
memberhentikan,-5
memberantas,-5
memberangsangkan,-4
membentur,-3
membentak,-5
membendung,-3
membenci,-5
membencanai,-4
membembam,-4
membelot,-5
membekas,-3
membekap,-3
membekam,-4
membegal,-5
membeda-bedakan,-3
membeber,-4
membayankan,-4
membawat,-5
membawang,-5
membawa berat,-3
membatu,-2
membatasi,-3
membasmi,-5
membara,-3
membanting,-4
membantar,-4
membantai,-4
membanjiri,-3
membangunkan,-4
membandungi,-1
membandingkan,-3
membanding,-3
membandel,-5
membalik belakang,-5
membalas,-3
membakar,-4
membajak,-5
membahana,-3
membabi buta,-4
membabat,-4
membabar,-1
mematut-matut,-3
mematung,-3
memarap,-3
memarak,-3
memarahi,-5
memapas,-5
memantapkan,-3
memantang,-4
memantak,-4
memantai,-4
memanjatkan doa,-3
memanas-manasi,-3
memanaskan,-4
memampat,-3
memaling,-5
memalak,-4
memaku,-3
memaki,-5
memahirkan,-1
memadatkan,-3
memacak,-4
memaafkan,-3
melupakanmu,-3
melupai diri,-3
melunyah,-3
melumur,-4
melumatkan,-4
melumangkan,-5
meluluhlantakkan,-4
melulu,-3
melukat,-4
melubangi,-3
meloya,-4
melorot,-4
meloloh,-3
meliputi,-3
melipur,-3
melintang,-4
melingkupi,-3
melindur,-3
melindap,-3
meligih,-4
melicinkan,-2
melibas,-4
meleting,-3
melet,-3
melesit,-1
meleset,-3
melesap,-3
melepek,-4
melepaskan,-5
melepas,-5
melenyapkan,-5
melendeh,-3
melenceng,-3
melembung,-3
melemah,-3
melelapkan,-3
melelah,-3
melekat,-4
melek,-2
meleja,-5
meledak,-4
melecehkan,-5
melayani,-5
melayang,-3
melawat,-4
melarat,-4
melarang,-3
melar,-2
melanyak,-3
melantak,-4
melankolis,-2
melankoli,-5
melanggar,-5
melandai,-3
melancarkan,-2
melampau,-4
melalap,-4
melalak,-3
melalah,-4
melaksanakan,-3
melaknat,-5
melahap,-5
meladeni,-5
melabrak,-5
meh,-5
medok,-3
mblo,-3
mbeling,-2
mayit,-4
mayat,-4
maunya,-1
maula,-4
matiin,-2
mati pucuk,-5
mati,-5
matanya,-2
mata-mata,-3
mata ikan,-4
mata betung,-3
mata,-5
masyhur,-5
masygul,-2
master,-1
masif,-3
masalah,-4
masai,-4
masa bodoh,-4
maruk,-3
mariyuana,-3
marahin,-4
marah,-5
mara,-4
manuver,-3
mansukh,-4
manjur,-1
manipulator,-4
manifestasi,-3
mangut,-4
mangkir,-3
mangkel,-4
mangkas,-2
manggak,-5
mangau,-4
maneh,-3
manasuka,-4
mampus,-5
mambang,-4
malu mata,-4
malu,-4
malesin,-4
males,-4
malas,-4
malapetaka,-5
malapateka,-3
malang,-5
malak,-4
mala,-5
maksa,-5
makmum,-3
maklumat,-3
makian,-5
maki,-5
makhluk halus,-4
makelar,-3
makan bawang,-5
majikan,-3
majenun,-2
mairat,-5
mainstream,-3
mainin,-2
main muda,-3
main mata,-5
main kayu,-3
maho,-4
mahh,-1
maherat,-4
maghrib,-2
mafia,-5
mafhum,-1
madat,-3
madani,-4
macis,-4
macem,-2
mabok,-4
maapkan,-3
maapin,-4
maap,-3
maafkan,-3
maafin,-3
maaf,-3
luyu,-1
luwes,-4
lutut,-2
lutu,-4
lusuh,-5
lurus hati,-1
luruh,-2
luput,-3
lupa diri,-3
luntur,-3
lungse,-4
lungkang,-4
luncas,-3
lunas (kapal,-3
lumut,-3
lumat,-4
luluh lantak,-5
luluh,-3
luka,-5
lugu,-2
luda,-3
lucut,-3
lucah,-5
lubuk,-3
lubang jarum,-5
luak,-3
lotre,-5
lotong,-4
lot,-5
lost,-3
lorot,-4
lopak-lapik,-4
lopak,-4
longgok,-3
loneng,-3
londang,-3
lompong,-5
lombong,-3
loloh,-3
loksek,-4
lock,-2
loakan,-4
liwa,-3
lisut,-4
lisong,-3
lirih,-3
lipur,-2
liplap,-3
lipat dua,-3
linu,-4
lintasan,-4
lintar,-3
linguis,-3
lingsir,-5
lingkup,-5
lingkar,-3
linggis,-4
lindap,-3
lincah,-3
lilit,-3
lihai,-4
life,-2
lieur,-3
licin,-2
liang sanggama,-4
liang jimak,-4
liang,-3
leyu,-4
lewat batas,-4
lever,-2
letus,-4
letup,-3
letih,-3
leta,-5
lesu,-4
lesit,-1
lesap,-3
lerak,-4
lepra,-5
lepek,-4
lepaskan,-2
lepasan,-3
lepas,-2
lenyap daratan,-4
lenyap,-5
lenguh,-4
lengkur,-3
lengket-lengket,-3
lengket,-2
lenggana,-4
lengas,-4
lengang,-4
lengah,-4
lendeh,-3
lencana,-3
lemot,-5
lemes,-3
lembung,-3
lembu liar,-3
lembu hutan,-3
lembu,-3
lembeng,-4
lembek,-4
lembap,-4
lembam,-4
lembaga,-3
lemau,-4
lemah,-4
lelung,-3
lelucon,-4
leler,-4
lelembut,-4
leleh,-3
lelap,-5
lelang,-3
lelah,-3
lela,-4
lekukan,-3
lekat,-3
lekas,-3
lekap,-3
legalitas,-3
legalisasi,-3
leduk,-4
ledes,-3
ledekan,-5
ledak,-4
lecet,-4
leceh,-5
lecap,-4
leburan,-3
lebur,-5
lebu,-3
lebay,-5
lebar,-3
lebai,-3
leave,-3
ldr,-2
layuh,-3
layu,-4
layon,-4
layan,-2
layak,-5
lawas,-5
laur,-4
lau,-2
latisan,-4
latihan,-2
latih,-2
laten,-5
lata,-5
lasat,-5
lari-lari,-2
lari,-2
larat hati,-3
larat,-3
lara,-5
lapuk,-5
laporin,-3
laporan,-5
laper,-3
kelaparan,-5
lapang hati,-1
lap kaki,-2
lap,-5
lanyak,-3
lantaran,-4
lanjut usia,-3
lanjut umur,-3
lanjut,-5
lanjur,-3
langsuir,-4
langsai,-3
langking,-4
langkap,-3
langkan,-3
langkah baik,-1
langka,-5
langis,-5
langau,-4
langah,-3
landasan (pesawat udara),-4
lancut,-4
lancip,-4
lancar,-2
lancang mulut,-4
lancang,-5
lambat-lambat,-4
lambang,-3
laluan,-4
lalu dr dunia,-5
lalim,-5
lali,-4
lalat kerbau,-4
lalat hijau,-5
lalai,-4
lakon,-4
laknat,-5
lajat,-5
lain,-4
laik,-5
laif,-5
lahir kembali,-3
lahang,-3
lagian,-3
lagak,-2
lafal,-4
ladang,-4
ladah,-5
lacur,-5
labuda,-3
labrak,-4
laboratorium,-3
labil,-4
kzl,-5
kuyup,-3
kuyu,-5
kuwur,-4
kutut,-3
kutuk,-5
kutu busuk,-4
kutil,-4
kusut pikiran,-4
kusut hati,-5
kusut,-4
kurusuhan,-4
kurus,-3
kurungan,-4
kurung,-3
kurban,-3
kurbal,-3
kurang,-5
kuota,-2
kuno,-5
kunjung,-3
kuning,-4
kungkungan,-3
kunarpa,-4
kumuh,-4
kumbang,-4
kumat,-4
kumandang,-3
kulak,-3
kukul,-3
kukuh,-4
kufur,-5
kucar-kacir,-5
kubra,-5
kubang,-3
kuat duga,-2
kuat (dugaan),-2
kualat,-4
kronologi,-1
kronis,-5
kroni,-3
kromatis,-3
kroco,-4
kritis,-5
kritikan,-5
kritik,-5
krista,-4
krisis,-4
krg,-2
koyak-koyak,-5
koyak,-3
kotoran,-5
kotor,-5
koteng,-3
kotak,-3
kot,-1
kosong,-4
korupsi,-4
korup,-5
korek api,-4
korek,-4
korban,-4
kopyor,-4
kopong,-4
koplo,-3
konyol,-3
konveks,-3
kontroversi,-4
kontras,-3
kontradiksi,-3
kontol,-5
kontaminasi,-4
kontak,-4
konspirasi,-4
konsistensi,-3
konsekuensi,-3
konotasi,-3
konkurensi,-4
konkretisasi,-3
konglomerasi,-4
kongkong,-3
kongkalikong,-4
koneksi,-4
konco,-3
komunitas,-3
komunikasi,-4
kompor,-4
komplot,-4
komplikasi,-3
kompas,-3
komat-kamit,-3
kolot,-5
kolera,-4
kolaps,-5
kolam,-3
kojor,-3
koit,-5
kohor,-3
kodok,-2
kode,-3
kocok,-3
kocar-kacir,-5
kocak,-2
kobaran,-3
kobar,-2
kliyengan,-4
kitab,-3
kisruh,-3
kismat,-2
kisi-kisi,-4
kisikan,-3
kisi,-3
kiranya,-1
kirai,-3
kincit,-5
kilat,-2
kilang,-3
kilah,-4
kikis,-5
kidib,-3
kicik,-3
kicauan,-4
kiamat,-3
kial,-4
khisit,-5
khinzir,-4
khilaf,-4
khianat,-4
khawatir,-5
khatimah,-3
khasi,-4
kharab,-5
khalwat,-3
khalifatullah,-4
khair,-4
khafi,-5
khabis,-3
kgk,-3
kewalahan,-3
ketus,-4
ketupat bengkulu,-5
ketupat bangkahulu,-5
ketumbukan,-4
ketularan,-4
ketulahan,-4
ketul,-3
ketuat,-4
ketinggian,-2
ketinggalan,-3
ketimpangan,-4
ketiduran,-3
ketidaktentuan,-5
ke-tidakjelasan,-5
ketewasan,-3
keterlibatan,-3
keterlaluan,-5
keterkaitan,-3
keteledoran,-4
ketelanjuran,-5
ketauan,-4
ketat,-3
ketar,-3
ketakutan,-4
ketaksaan,-5
ketajaman,-2
ketahuan,-5
kesusupan,-2
kesusahan,-5
kesurupan,-5
kesuraman,-5
kesunyian,-3
kesumat,-4
kesulitan,-5
kesukaran,-4
kesudahan,-3
kesucian,-1
kesomplok,-4
kesima,-1
kesibukan,-3
kesiannya,-4
kesian,-3
kesialan,-5
kesi,-3
kesetanan,-3
keset,-4
keseser,-4
kesepian,-4
kesepakatan,-4
kesenyapan,-4
kesentuhan,-3
kesenjangan,-4
kesengsaraan,-5
kesenduan,-2
kesendirian,-4
keseleo,-3
kesel,-5
kesedihan,-5
kesebalikan,-2
kesayuan,-2
kesambet,-3
kesalahan,-5
kesal,-5
kesahihan,-3
keruwetan,-4
kerut merut,-3
kerut,-2
kerusuhan,-5
kerumitan,-5
kerumit,-5
keruh,-4
kerugian,-5
kerubut,-3
kerubung,-3
keroyok,-4
kerosek,-3
keropos,-3
keropok,-3
kerok,-3
kernyih,-4
kerjain,-3
keras,-5
keriuhan,-3
kerising,-4
keris,-4
kering,-3
kerikil,-3
kerik,-3
keributan,-5
keri,-4
keretakan,-4
kereta,-4
kereseng,-4
kerepotan,-3
keremus,-4
kerelaan,-2
kerekau,-3
kerdak,-4
kerbau,-3
kerawanan,-4
kerat,-1
kerasukan,-5
kerasan,-2
keras tulang,-2
keras kepala,-4
keras hati,-3
keran,-4
keramat,-3
kerakal,-3
kerak,-2
kerajaan,-3
kerai,-4
kerabu,-5
kerabit,-3
kerabat,-3
kera,-3
keputusasaan,-5
keprihatinan,-3
kepompong,-5
kepo,-3
kepleset,-4
kepinding,-5
kepindahan,-3
kepincangan,-4
kepialu,-4
kepetangan,-3
keperihan,-5
kepercayaan,-3
kepeng,-2
kepencet,-2
kepenatan,-4
kepelikan,-4
kepedulian,-2
kepedihan,-5
kepayahan,-3
keparat,-5
kepanikan,-4
kepalang,-3
kepalan,-5
kepala udang,-3
kepala angin,-3
keonaran,-5
keok,-2
kenyih,-4
kenyataannya,-2
kentut,-2
kentara,-3
kenistaan,-5
kenestapaan,-3
kenes,-3
kendatipun,-3
kendati,-3
kencing,-3
kenceng,-2
kencang,-3
kenapasih,-3
kenan,-3
kenal,-2
kenahasan,-2
kemurungan,-5
kemurkaan,-5
kemuraman,-5
kemungkinan,-1
kemunduran,-5
kemplang,-5
kempes,-4
kempa,-3
kemiripan,-2
kemik,-3
kemesuman,-5
kemerosotan,-5
kembung,-3
kembang-kempis,-4
kemban,-5
kemayu,-3
kematian,-5
kemasygulan,-3
kemasukan,-3
kemas,-2
kemandang,-3
kemamang,-4
